,Unnamed: 0,id,comment,original_comment,score,data_scale,data_source,created_at,date,day,month,is_mf,device,family,is_b2b,reason,browser,category,language,platform,provider,first_order,nb_articles,csat_presales,shipping_fees,bv_transaction,payment_method,operating_system,last_paid_channel,has_presales_contact,shipping_fees_bucket,bv_transaction_bucket,has_manodvisor_contact,themes,tags,shipment
61,61,295562436,Many products available and reasonable shipping costs.,Nombreux produit disponible et frais de port raisonnable.,10,NPS,Customer Effort Score,2021-08-01T08:16:46.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,,Edge 92.0.902,Outils de jardin motorisés,French,FR,Espace-B (FR),False,1,FALSE,"6,29","23,28",mastercard,Windows 10,SEM,False,6 - 10,1 - 100,False,Delivery > Shipping Fees > 1;Product > Range > 1,,True
196,196,295562886,too high shipments,spedizioni troppo alte,0,NPS,Customer Effort Score,2021-08-01T10:49:28.000Z,2021-08-01,dimanche,août,False,desktop,Outillage,False,I costi di spedizione erano troppo elevati.,Firefox 90.0,...,Italian,IT,Conrad (IT),False,1,FALSE,8,"22,99",paypal,Windows 10,SHOPBOT,False,6 - 10,1 - 100,False,Delivery > Shipping Fees > -1,Detractor '- Delivery Fees,True
206,206,295563227,Hope delivery is as easy as the ordering,Hope delivery is as easy as the ordering,8,NPS,Customer Effort Score,2021-08-01T11:11:28.000Z,2021-08-01,dimanche,août,False,tablet,Jardin piscine,False,,Mobile Safari 14.1.1,"Abri, garage et rangement extérieur",English,GB,Empire Sheds (GB),True,1,FALSE,0,"853,24",mastercard,iOS 14.6,DIRECT_ACCESS,False,0,801 - 1000,False,Delivery > Quality > 1,,True
248,248,295563929,"It says the delivery is free, when you pay, it gets paid, it's not cool","C'est écrit que la livraison est gratuite, au moment de payer, ça devient payant, c'est pas cool",5,NPS,Customer Effort Score,2021-08-01T12:06:04.000Z,2021-08-01,dimanche,août,False,desktop,"Salle de bain, WC",False,J’ai manqué d’options pour me faire livrer,Other,Douche et baignoire,French,FR,Plomberie Pro (FR),True,1,FALSE,"6,5","11,82",cb,Other,DIRECT_ACCESS,False,6 - 10,1 - 100,False,Product > Instructions Detail > -1;Delivery > Shipping Fees > -1,Detractor '- Delivery Options,True
464,464,295563194,Quick order to see delivery?,Commande rapide à voir la livraison ?,10,NPS,Customer Effort Score,2021-08-01T16:57:10.000Z,2021-08-01,dimanche,août,False,phone,Mobilier d'intérieur,False,,Google 169.0.385036250,Meuble de salle à manger ,French,FR,vidaXL (FR),True,1,FALSE,0,"131,98",paypal,iOS 14.6,SHOPBOT,False,0,101 - 150,False,Delivery > Speed of delivery > 0;Order > Quality > 1,,True
780,780,295562479,shipping costs too high!!!,FRAIS DE PORT TROP ELEVE !!!!,2,NPS,Customer Effort Score,2021-08-02T08:42:27.000Z,2021-08-02,lundi,août,False,desktop,Jardin piscine,False,J’ai manqué d’options pour me faire livrer | J’ai trouvé que les frais de port étaient trop chers,Chrome 92.0.4515,Mobilier de jardin et jeux,French,FR,ID Market (FR),False,1,FALSE,"23,9","93,89",visa,Windows 10,SEM,False,20 - 50,1 - 100,False,Delivery > Shipping Fees > -1,Detractor '- Delivery Fees; Detractor - Delivery Options,True
867,867,295563399,To the products I ordered were perfect and nickel delivery!,Tou les produits que j’ai commandé étaient parfait et la livraison nickel ! 👌 👍,10,NPS,Customer Effort Score,2021-08-02T10:13:16.000Z,2021-08-02,lundi,août,True,tablet,Electricité,False,,Chrome Mobile iOS 92.0.4515,"Domotique, automatismes et sécurité",French,FR,Liberotech MF (FR),False,1,FALSE,0,"49,91",visa,iOS 14.6,DIRECT_ACCESS,False,0,1 - 100,False,Product > Quality > 1;Delivery > Quality > 1,,True
959,959,295564174,Clear and easy choice to order. I'm waiting for the delivery to comment a little more.,Choix clair et facilité pour commander. J'attends la livraison pour commenter un peu plus.,10,NPS,Customer Effort Score,2021-08-02T12:02:59.000Z,2021-08-02,lundi,août,False,desktop,Jardin piscine,False,,Firefox 90.0,"Abri, garage et rangement extérieur",French,FR,CentraleBrico (FR),True,1,FALSE,"39,9","437,9",mastercard,Windows 10,SHOPBOT,False,20 - 50,401 - 500,False,Online Experience > Ease of Use > 1,,True
992,992,295562412,All right! So far... we'll see about the delivery now!,top ! jusque là.... on va voir pour la livraison maintenant !,10,NPS,Customer Effort Score,2021-08-02T12:47:06.000Z,2021-08-02,lundi,août,False,desktop,Jardin piscine,False,,Chrome 92.0.4515,Piscine,French,FR,vidaXL (FR),True,1,FALSE,0,"71,98",visa,Windows 10,DIRECT_ACCESS,False,0,1 - 100,False,Service > General Satisfaction > 1,,True
1113,1113,295565624,"very straight forward and free delivery - win, win!","very straight forward and free delivery - win, win!",10,NPS,Customer Effort Score,2021-08-02T15:02:56.000Z,2021-08-02,lundi,août,False,desktop,Plomberie chauffage,False,,Chrome 92.0.4515,Robinetterie,English,GB,Plumbworld (GB),True,1,FALSE,0,"119,99",paypal,Windows 8.1,SEM,False,0,101 - 150,False,Delivery > Shipping Fees > 1;Online Experience > Ease of Use > 1,,True
