,Unnamed: 0,id,comment,original_comment,score,data_scale,data_source,created_at,date,day,month,is_mf,device,family,is_b2b,reason,browser,category,language,platform,provider,first_order,nb_articles,csat_presales,shipping_fees,bv_transaction,payment_method,operating_system,last_paid_channel,has_presales_contact,shipping_fees_bucket,bv_transaction_bucket,has_manodvisor_contact,themes,tags,shipment
42,42,295563200,I thank your advisor for helping and advising me in my research. And I just placed an order. I am very pleased with this assistance.,Je remercie votre conseiller pour m’avoir aidé et conseillé dans ma recherche. Et je viens de passer commande. Je suis très satisfaite de cette aide,10,NPS,Customer Effort Score,2021-08-01T07:27:59.000Z,2021-08-01,dimanche,août,False,desktop,Revêtement sol et mur,False,,Safari 14.1.1,Préparation des supports,French,FR,Isolbau (FR),False,1,FALSE,27,"126,8",paypal,Mac OS X 10.15.6,SEM,False,20 - 50,101 - 150,False,Support > Quality > 1,,False
61,61,295562436,Many products available and reasonable shipping costs.,Nombreux produit disponible et frais de port raisonnable.,10,NPS,Customer Effort Score,2021-08-01T08:16:46.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,,Edge 92.0.902,Outils de jardin motorisés,French,FR,Espace-B (FR),False,1,FALSE,"6,29","23,28",mastercard,Windows 10,SEM,False,6 - 10,1 - 100,False,Delivery > Shipping Fees > 1;Product > Range > 1,,True
62,62,295564344,Fast and clear,Rapide et clair,10,NPS,Customer Effort Score,2021-08-01T08:19:14.000Z,2021-08-01,dimanche,août,True,phone,Jardin piscine,False,,Facebook 329.0.0,Plante et soin des végétaux,French,FR,Provence Outillage MF (FR),False,1,FALSE,"2,99","26,98",paypal,Android 11,RETARGETING,False,1 - 5,1 - 100,False,Delivery > Speed of delivery > 1;Online Experience > Ease of Use > 1,,False
87,87,295562419,All right.,Très bien,10,NPS,Customer Effort Score,2021-08-01T08:45:19.000Z,2021-08-01,dimanche,août,False,phone,Quincaillerie,False,,Chrome Mobile 92.0.4515,Pièces détachées,French,FR,Sos_access (FR),False,1,FALSE,"2,95","16,75",visa,Android 10,DIRECT_ACCESS,False,1 - 5,1 - 100,False,Service > General Satisfaction > 1,,False
90,90,295563028,Quick and clear explanations,Rapide et explications claires,10,NPS,Customer Effort Score,2021-08-01T08:48:10.000Z,2021-08-01,dimanche,août,False,tablet,Jardin piscine,False,,Chrome 92.0.4515,Outils de jardin motorisés,French,FR,WilTec (FR),True,1,FALSE,"10,5","26,45",mastercard,Android 11,SHOPBOT,False,6 - 10,1 - 100,False,Product > Instructions Detail > 1,,False
98,98,295561975,Very friendly,Très convivial,10,NPS,Customer Effort Score,2021-08-01T08:59:56.000Z,2021-08-01,dimanche,août,False,phone,Jardin piscine,False,,Google 170.0.386351093,Outils de jardin motorisés,French,FR,Webmotoculture (FR),False,2,FALSE,"7,89","43,54",mastercard,iOS 14.6,SHOPBOT,False,6 - 10,1 - 100,False,Support > Attitude of staff > 1,,False
113,113,295563201,Nothing to say great,rien à dire super,10,NPS,Customer Effort Score,2021-08-01T09:19:54.000Z,2021-08-01,dimanche,août,False,desktop,Outillage,False,,Chrome 92.0.4515,...,French,FR,Le Carrefour de la Fleur (FR),False,1,FALSE,9,"29,85",visa,Windows 10,SHOPBOT,False,6 - 10,1 - 100,False,Service > General Satisfaction > 1,,False
144,144,295563858,"Easy navigation, good","Navigation facile, bien",10,NPS,Customer Effort Score,2021-08-01T09:55:23.000Z,2021-08-01,dimanche,août,False,desktop,Luminaire,False,,Edge 91.0.864,Eclairage d'extérieur,French,FR,Luminaire (FR),True,2,FALSE,"11,9","70,79",mastercard,Windows 10,DIRECT_ACCESS,False,11 - 20,1 - 100,False,Service > General Satisfaction > 1;Online Experience > Ease of Use > 1,,False
147,147,295561811,"Quite logical and easy, no problem","Assez logique et facile, sans problème",8,NPS,Customer Effort Score,2021-08-01T09:57:39.000Z,2021-08-01,dimanche,août,False,phone,Jardin piscine,False,,Mobile Safari 14.1.1,Piscine,French,FR,R.On. (FR),False,2,FALSE,"11,64","100,38",paypal,iOS 14.6,SHOPBOT,False,11 - 20,1 - 100,False,Online Experience > Ease of Use > 1;Online Experience > Design / Layout > 1,,False
158,158,295561673,"Very clear and intuitive web, with all the information you need step by step to purchase the products. Congratulations!!!","Web muy clara e intuitiva, con toda la información que necesitas paso a paso para adquirir los productos. Felicidades!!!",10,NPS,Customer Effort Score,2021-08-01T10:13:59.000Z,2021-08-01,dimanche,août,False,desktop,Quincaillerie,False,,Safari 14.1.1,Quincaillerie de porte et de fenêtre,Spanish,ES,marketdeferreteria (ES),True,1,FALSE,"4,99","16,99",paypal,Mac OS X 10.15.6,DIRECT_ACCESS,False,1 - 5,1 - 100,False,Online Experience > Ease of Use > 1;Online Experience > Design / Layout > 1,,False
196,196,295562886,too high shipments,spedizioni troppo alte,0,NPS,Customer Effort Score,2021-08-01T10:49:28.000Z,2021-08-01,dimanche,août,False,desktop,Outillage,False,I costi di spedizione erano troppo elevati.,Firefox 90.0,...,Italian,IT,Conrad (IT),False,1,FALSE,8,"22,99",paypal,Windows 10,SHOPBOT,False,6 - 10,1 - 100,False,Delivery > Shipping Fees > -1,Detractor '- Delivery Fees,True
197,197,295562175,The cat at the top,Le chat au top,10,NPS,Customer Effort Score,2021-08-01T10:49:34.000Z,2021-08-01,dimanche,août,False,desktop,Revêtement sol et mur,False,,Chrome 92.0.4515,Produit d'entretien et de restauration,French,FR,Espace-B (FR),False,1,FALSE,"6,49","39,19",visa,Windows 10,SHOPBOT,False,6 - 10,1 - 100,False,Service > General Satisfaction > 1,,False
211,211,295562142,Good products excellent service,Buoni prodotti ottimo servizio,8,NPS,Customer Effort Score,2021-08-01T11:17:29.000Z,2021-08-01,dimanche,août,False,tablet,Mobilier d'intérieur,False,,Chrome 89.0.4389,Décoration,Italian,IT,Biscottini (IT),False,1,FALSE,"12,99","112,99",paypal,Android 11,SHOPBOT,False,11 - 20,101 - 150,False,Service > General Satisfaction > 1;Product > Quality > 1,,False
224,224,295562228,more description would be needed,servirebbe più descrizione,8,NPS,Customer Effort Score,2021-08-01T11:31:59.000Z,2021-08-01,dimanche,août,False,desktop,Jardin piscine,False,,Chrome 92.0.4515,Piscine,Italian,IT,SAN MARCO (IT),False,2,FALSE,"4,95","86,75",mastercard,Windows 10,SEM,False,1 - 5,1 - 100,False,Product > Instructions Detail > -1,,False
